what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619059677722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059695551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059702187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059708741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059725867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619059756661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619059758557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619059761640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619059768271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059775543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059778907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619059780431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059792600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059796901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059803069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059820205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619059822309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059822718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059827572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619059828830
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1619059832721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059845998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059892358
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1619059899970
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619059901476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059901783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059903016
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619059915138
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619059915345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059930240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059940071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619059943743
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619059949376
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619059949675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059968651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059975751
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619059978053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059995635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619059997007
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619059997236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1619059997486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619059997868
