what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619135070805
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619135079953
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619135080257
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619135083644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135132705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135133480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135133689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135165323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619135177307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619135210662
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1619135211449
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1619135214460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619135215844
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619135225089
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619135242887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135304890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135307460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135322957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135354851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619135362972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619135384157
