what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131525482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131526726
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619131527589
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619131528416
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619131529309
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619131529463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131537703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131542678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619131545145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619131546073
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619131548491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131548870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131553039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131553383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131554888
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619131554912
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1619131568612
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1619131568850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131580152
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1619131583600
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1619131583845
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1619131587760
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1619131587794
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619131588099
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1619131599298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131605715
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1619131605786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131606615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131627335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619131628815
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1619131630864
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1619131630918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131632620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1619131632667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131642695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131644753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131652788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619131656703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619131658894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619131659606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619131663858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619131664074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619131664285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619131665716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619131665887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619131666031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619131667045
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619131669873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131671626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619131671701
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619131671957
