what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063461421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063494004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063498008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063504713
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619063507353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619063528139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619063584573
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619063586785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063587109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063588037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619063668022
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619063670125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063670438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063673162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063673202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063676667
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619063676869
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1619063680601
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619063681323
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619063681749
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619063683685
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619063685333
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619063687949
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619063692450
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619063694796
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619063697618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619063711944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063749406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063772593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063777642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063779638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063786438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063805269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063807464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063808460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063823290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063831113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063850298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1619063850307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1619063866200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063904844
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619063958861
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619063959901
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1619063972719
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619063986756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619063989299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064053385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064063239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064064412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064065986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064066641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064069274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064070113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619064117725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619064118838
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619064181170
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619064182376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619064182785
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619064186795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064187113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064187727
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619064190318
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619064190537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1619064196373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064199018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064200369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064203612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064204461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064206171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064207154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064208564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064209796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064219209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064220567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619064226733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619064240153
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619064242724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064243027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064244145
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619064245803
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619064246063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619064249544
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619064251812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064252114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064253972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064253988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064257522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064258833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064261633
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619064261645
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619064261896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064263624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064267926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064275272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064276225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619064277155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619064277989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619064282247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619064282870
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1619064285166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619064285468
