what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1619132182312
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1619132182312
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1619132182312
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1619132182312
java.vm.specification.version,sysinfo,,,"1.0",1619132182312
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1619132182312
java.vm.version,sysinfo,,,"19.0-b09",1619132182312
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1619132183271
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1619132183274
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1619132183480
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1619132183732
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1619132183918
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619132184516
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1619132184557
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619132184737
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1619132185362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132187635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132188386
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1619132188404
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619132188766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132188816
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1619132189548
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1619132189675
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1619132189708
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1619132189713
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1619132189714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132191447
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1619132195756
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619132198161
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1619132203542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132203906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132208836
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1619132211462
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619132216951
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1619132217338
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1619132217547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619132230110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1619132230149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1619132232494
